,Item ID,Title,Price,Condition,Description,Number_of_pictures,Delivery,Shipping,Distance,Ship_Location,Ship_Price,Location,City,State,Time
75,590890910,Google pixel 3,400,Used (normal wear),I have a pixel 3 with a broken screen had it for a week and I doped it...i have everything that comes with the phone 400 obo.... Don't waste my time if your not interested u will get blocked....,3,Local pickup (86 miles away),Ships for $7.49,86.0,,7.49,"Rialto, CA",Rialto, CA,12 months 
76,790432276,Google Pixel 3 XL - 128gb White Verizon,420,Used (normal wear),"Nearly perfect condition Google Pixel 3 XL phone. It's Verizon, white with the upgraded 128 GB storage. Been in a case since Day 1. Excellent phone running stock android that's smooth and responsive. No issues, comes with all original packaging including box, USB-C to USB-C charging cable, fast charging block, USB-C to USB adapter, headphone dongle and wired Pixel buds headphones.",7,No delivery INFO!,"Ships from Phoenix, AZ for $7.49",,"Phoenix, AZ",7.49,"Phoenix, AZ",Phoenix, AZ,15 hours 
78,788682155,Google Pixel 3 XL / Unlocked,350,Used (normal wear),Comes w new screen protector and everything in the box. It's in great condition. Unlocked Google version and 64 GB. Price is firm. ,1,No delivery INFO!,"Ships from Playa del Rey, CA for $7.49",,"Playa del Rey, CA",7.49,"Playa del Rey, CA",Playa del Rey, CA,4 days 
79,786682554,Google Pixel 3 XL 64 GB - Just Black w/ Accessories,425,Used (normal wear),"Mint/like new condition. Kept in perfect condition. Owned for less than a year. No scratches, scrapes, dents, scuffs, etc.**Comes with original box, original accessories, 4 cases and a wireless charging stand.**",6,No delivery INFO!,"Ships from St. Petersburg, FL for $3.29",,"St. Petersburg, FL",3.29,"St. Petersburg, FL",St. Petersburg, FL,1 week 
80,785315782,Google Pixel 3 XL 128GB Pink Unlocked,380,Reconditioned/Certified,"Sell Phone Store Seattle, WABest place for used electronics!Condition: Factory Refurbished✅ Tested and fully functional✅ iCloud / Google FRP clear✅ Carrier unlocked✅ CLEAN IMEI GUARANTEED✅ LIFETIME IMEI WARRANTY✅ Trusted SellerPlease let us know if you have any questions.",2,No delivery INFO!,"Ships from Seattle, WA for $7.49",,"Seattle, WA",7.49,"Seattle, WA",Seattle, WA,1 week 
81,783154501,Unlock pixel,280,Used (normal wear),Unlock google pixel 3. $300 obo.,3,No delivery INFO!,"Ships from Los Angeles, CA for $7.49",,"Los Angeles, CA",7.49,"Los Angeles, CA",Los Angeles, CA,2 weeks 
83,772372699,Google pixel 3a xl,300,Used (normal wear),Google pixel 3 a xl Carrier = sprint,2,No delivery INFO!,"Ships from DeLand, FL for $3.29",,"DeLand, FL",3.29,"DeLand, FL",DeLand, FL,3 weeks 
84,776127899,(Verizon) Google Pixel 3 XL 64 GB,400,Used (normal wear),Verizon Google Pixel phone ready for new owner. Screen and case protected since it left the store. So many features and customizable apps. Wireless charging capability! No issues. Purchased another phone and no longer need it. BUY ME BUY ME!!! NO TRADES!!,2,No delivery INFO!,"Ships from Farmington Hills, MI for $3.29",,"Farmington Hills, MI",3.29,"Farmington Hills, MI",Farmington Hills, MI,3 weeks 
85,772183086,Google pixel 3 XL 128 GB unlocked with extras,500,Open box (never used),"Pixel 3 XL 128 GB factory unlocked, no contract, 100% clean esn , absolutely perfect, not refurbished, perfectly working, pristine condition. ******** NO TRADES ********Comes with 1 clear case, 1 blue aluminum glass backed case, 3 tempered glass screen protectors. Original box and all paperwork and accessories",9,No delivery INFO!,"Ships from New York, NY for $7.49",,"New York, NY",7.49,"New York, NY",New York, NY,1 month 
87,762529783,Google pixel 3 XL,400,Used (normal wear),"Great phone, amazing pictures. Comes with Kate Spade case.",4,No delivery INFO!,"Ships from West Branch, MI for $7.49",,"West Branch, MI",7.49,"West Branch, MI",West Branch, MI,1 month 
88,757813939,Google Pixel 3 XL,500,Open box (never used),Google Pixel 3 XL NEW!,2,No delivery INFO!,"Ships from NY, US for $3.29",,"NY, US",3.29,"NY, US",NY, US,2 months 
89,753446149,Unlocked Google pixel 3 128g,500,New (never used),Unopened google pixel 3 128g unlocked for any service,4,Local pickup (60 miles away),Ships for $7.49,60.0,,7.49,"Hemet, CA",Hemet, CA,2 months 
90,742520611,Google Pixel 3 XL 128GB Just Black Unlocked,500,Open box (never used),"Sell Phone Store Seattle, WABest place for used electronics!Condition: New, open box✅ Tested and fully functional✅ iCloud / Google FRP clear✅ Carrier unlocked✅ CLEAN IMEI GUARANTEED✅ LIFETIME IMEI WARRANTY✅ Trusted SellerPrice may vary depending on condition and carrier.🎉 WE SHIP THRU OFFERUP 🎉Please let us know if you have any questions.",2,No delivery INFO!,"Ships from Seattle, WA for $7.49",,"Seattle, WA",7.49,"Seattle, WA",Seattle, WA,2 months 
91,728418889,Google pixel 3 64 gb 3 months old paid $ 800,350,Used (normal wear),Google pixel 3 64 go 5.5” black,1,Local pickup (50 miles away),Ships for $3.29,50.0,,3.29,"Murrieta, CA",Murrieta, CA,3 months 
92,713768757,iPhone XS Max (64Gb),475,Used (normal wear),The phone brand new my wife switch to the new google pixel xl 3 for work it use to have a case but I put it on my phone No scratches AT&T phone No PayPal Cashapp or WesternUnion First class ups to your door step ,4,No delivery INFO!,"Ships from Amlin, OH for $3.29",,"Amlin, OH",3.29,"Amlin, OH",Amlin, OH,4 months 
93,689312480,Google Pixel 3 (128gig),400,Used (normal wear),Good condition,5,No delivery INFO!,"Ships from Lawrenceville, GA for $7.49",,"Lawrenceville, GA",7.49,"Lawrenceville, GA",Lawrenceville, GA,6 months 
95,634451652,Google Pixel 3 unlocked 64gb white,500,New (never used),Never used only have phone unfortunately no box or charger but has factory seal on it what u see is the plastic that's bent not screen cracked. Works with any SIM or carrier unlocked ,2,Local pickup (87 miles away),Ships for $10.99,87.0,,10.99,"San Bernardino, CA",San Bernardino, CA,9 months 
96,611743799,New Google Pixel 3 XL Unlocked 64GB Black,499,New (never used),Unopened Google Pixel 3 XL Factory UnlockedNo trade.,5,No delivery INFO!,"Ships from Dearborn Heights, MI for $7.49",,"Dearborn Heights, MI",7.49,"Dearborn Heights, MI",Dearborn Heights, MI,10 months 
98,789318351,Google pixel 3 LX,400,Reconditioned/Certified,Google pixel 3 LX barley been used! Very good condition! ,5,No delivery INFO!,"Ships from Longmont, CO for $7.49",,"Longmont, CO",7.49,"Longmont, CO",Longmont, CO,2 days 
99,787621300,Google pixel 3 slightly used no damage,275,Used (normal wear),No damage used for a few months. Google pixel 3 purchased at Best buy. No low-ball offers ,1,Local pickup (84 miles away),Ships for $7.49,84.0,,7.49,"Long Beach, CA",Long Beach, CA,6 days 
100,785141939,Google pixel 3 XL,300,New (never used),Google pixel 3 XL unlocked and in excellent condition. Comes with Google fabric case,2,No delivery INFO!,"Ships from Prince George, VA for $7.49",,"Prince George, VA",7.49,"Prince George, VA",Prince George, VA,1 week 
101,781688979,Google Pixel 3 Brand new,300,Open box (never used),"1. Brand New Google Pixel 3. 2. 64 gb.3. Has the best Camera you can ever ask for in a phone.4. Unlocked phone.5. Amazing touch response, camera and disolay6. Unlimited photo video Storage with google .7. Phone onlyCondition: Like new",11,No delivery INFO!,"Ships from El Cerrito, CA for $7.49",,"El Cerrito, CA",7.49,"El Cerrito, CA",El Cerrito, CA,2 weeks 
102,778044721,Pixel 3 64GB Unlocked,425,Used (normal wear),"Like new Google Pixel 3 in ‘Not Pink’. No scratches, screen perfect - always kept in a case with screen protector. Unlocked to work with any carrier. Comes with original box, charger and a couple cases. ",4,No delivery INFO!,"Ships from Alexandria, VA for $7.49",,"Alexandria, VA",7.49,"Alexandria, VA",Alexandria, VA,3 weeks 
